파일,번호,한국어 원본,AI 영문 초안,수정 제안,메모
quote-flow (견적문의),113,"일시, 행사 장소 등 세부 내역을 안건 항목에서 기재 또는 첨부해 주세요.","Please include details such as date, time, and venue in the agenda section below, or attach a file.",,
quote-flow (견적문의),114,안건을 알려주세요.,Please describe the agenda.,,
quote-flow (견적문의),115,자세할수록 정확한 견적이 가능합니다.,"The more detail you share, the more accurate the quote will be.",,
quote-flow (견적문의),116,"예: 2026 CES 컨퍼런스 대표 및 임원진 출장 수행통역 (2월 라스베거스, 3인 총 4박 5일, 연사 발표 있음)","e.g., Escort interpretation for executives at CES 2026 conference (Las Vegas, February, 3 people, 4 nights 5 days, includes speaker presentation)",,
quote-flow (견적문의),117,"교통편, 숙소 별도 제공 체크해주신 분들은 일시, 행사 장소 등 세부 내역을 기재 또는 첨부해주세요.","If you selected that transportation and accommodation must be arranged separately, please include details such as date, time, and venue, or attach a file.",,
quote-flow (견적문의),118,과업 기간을 알려주세요.,Please share the project duration.,,
quote-flow (견적문의),119,세부 일정이 미정이면 대략적인 기간으로 골라주셔도 됩니다.,"If the detailed schedule is not fixed, you may choose an approximate duration.",,
quote-flow (견적문의),120,과업 기간,Project duration,,
quote-flow (견적문의),121,예: 2026년 9월 ~ 2027년 5월 (9개월),"e.g., September 2026 - May 2027 (9 months)",,
quote-flow (견적문의),122,수행 방식을 선택해 주세요.,Please select the working arrangement.,,
quote-flow (견적문의),123,재택,Remote,,
quote-flow (견적문의),124,지정 장소,On-site (designated location),,
quote-flow (견적문의),125,하이브리드(혼합),Hybrid,,
quote-flow (견적문의),126,과업 내용을 알려주세요.,Please describe the project.,,
quote-flow (견적문의),127,입찰 건은 공고 링크를 남겨주셔도 됩니다.,"For bid opportunities, you may share the tender notice link.",,
quote-flow (견적문의),128,"예: 2027 신규 브랜드 런칭 및 제조공장 설립 회의 동시통역, 회의록 작성 (9개월)","e.g., Simultaneous interpretation and meeting minutes for 2027 new brand launch and manufacturing plant setup meetings (9 months)",,
quote-flow (견적문의),129,기밀유지계약(NDA)·보안서약이 필요한가요?,Do you require a non-disclosure agreement (NDA) or security pledge?,,
quote-flow (견적문의),130,행사 일시와 규모를 알려주세요.,Please share the date and scale of the event.,,
quote-flow (견적문의),131,대략적인 일정도 괜찮습니다.,An approximate schedule is fine.,,
quote-flow (견적문의),132,"대략적인 일정과 기간을 알려주시면, 가능한 일정을 제안드립니다.","Let us know your rough schedule and duration, and we'll propose available dates.",,
quote-flow (견적문의),133,대략적인 일정·기간,Approximate schedule & duration,,
quote-flow (견적문의),134,"예: 11월 초, 반나절 행사","e.g., early November, half-day event",,
quote-flow (견적문의),135,총 시간 또는 일수,Total hours or number of days,,
quote-flow (견적문의),136,예: 1일 6시간 / 2일간 오전만,"e.g., 1 day 6 hours / mornings only over 2 days",,
quote-flow (견적문의),137,진행 방식을 선택해 주세요.,Please select the delivery format.,,
quote-flow (견적문의),138,오프라인,Offline,,
quote-flow (견적문의),139,온라인,Online,,
quote-flow (견적문의),140,하이브리드(혼합),Hybrid,,
quote-flow (견적문의),141,통역 유형을 선택해 주세요.,Please select the type of interpretation.,,
quote-flow (견적문의),142,동시통역 — 부스,Simultaneous interpretation - booth,,
quote-flow (견적문의),143,동시통역 — 위스퍼링,Simultaneous interpretation - whispering,,
quote-flow (견적문의),144,순차통역,Consecutive interpretation,,
quote-flow (견적문의),145,잘 모르겠어요,Not sure,,
quote-flow (견적문의),146,다음 항목에서 행사 성격을 알려주시면 저희가 적합한 유형을 제안드립니다.,"Tell us about the nature of the event in the next question, and we'll recommend the right format.",,
quote-flow (견적문의),147,행사·안건을 알려주세요.,Please describe the event and agenda.,,
quote-flow (견적문의),148,"예: 글로벌 브랜드 신제품 런칭 기자간담회, 외신 Q&A 포함","e.g., Press conference for a global brand's new product launch, including Q&A with foreign press",,
quote-flow (견적문의),149,문서 유형을 선택해 주세요.,Please select the document type.,,
quote-flow (견적문의),150,번역공증이 필요한 서류,Documents requiring notarized translation,,
quote-flow (견적문의),151,서적·도록·브로슈어,"Books, exhibition catalogues, brochures",,
quote-flow (견적문의),152,기술문서·논문·일반문서,"Technical documents, papers, general documents",,
quote-flow (견적문의),153,웹사이트·홍보물,"Websites, promotional materials",,
quote-flow (견적문의),154,영상 자막·스크립트,Video subtitles / scripts,,
quote-flow (견적문의),155,번역 감수(기번역물),Translation review (of existing translation),,
quote-flow (견적문의),156,기타,Other,,
quote-flow (견적문의),157,희망 납기를 선택해 주세요.,Please select your desired turnaround.,,
quote-flow (견적문의),158,급행 (24시간 이내),Rush (within 24 hours),,
quote-flow (견적문의),159,1주일 이내,Within 1 week,,
quote-flow (견적문의),160,2주일 이내,Within 2 weeks,,
quote-flow (견적문의),161,한 달 이상,1 month or more,,
quote-flow (견적문의),162,협의 가능,Flexible / open to discussion,,
quote-flow (견적문의),163,내용을 간단히 알려주세요.,Please briefly describe the content.,,
quote-flow (견적문의),164,지금 파일이 없어도 문의 가능합니다.,You may submit an inquiry even without a file at hand.,,
quote-flow (견적문의),165,"예: 전시 도록 국문→영문, 인쇄 일정상 3주 내 완료 필요","e.g., Exhibition catalogue Korean to English, must be completed within 3 weeks due to print schedule",,
quote-flow (견적문의),166,분량을 대략 알려주세요.,Please give us a rough idea of the volume.,,
quote-flow (견적문의),167,정확하지 않아도 됩니다. 파일이 있으면 첨부해 주세요.,"An approximate figure is fine. If you have a file, please attach it.",,
quote-flow (견적문의),168,분량,Volume,,
quote-flow (견적문의),169,예: A4 30페이지 / 영상 40분,"e.g., 30 A4 pages / 40 minutes of video",,
quote-flow (견적문의),170,어떤 교육이 필요하세요?,What type of training do you need?,,
quote-flow (견적문의),171,"표준 수업은 바로 신청 가능하며, 커스텀 서비스는 별도 문의로 진행됩니다.",Standard lessons can be booked directly; custom services are handled through a separate inquiry.,,
quote-flow (견적문의),172,개인·그룹 영어 수업,Individual or group English lessons,,
quote-flow (견적문의),173,"기업·기관 교육|사내교육, 리더십교육, 인증감사, ODA 등","Corporate or institutional training|In-house training, leadership training, certification audits, ODA, etc.",,
quote-flow (견적문의),174,수업 형태를 선택해 주세요.,Please select the lesson format.,,
quote-flow (견적문의),175,사전 화상 상담(25분)도 가능합니다 — 접수 후 예약 링크를 보내드립니다.,A pre-lesson video consultation (25 min) is also available — we'll send a booking link after we receive your inquiry.,,
quote-flow (견적문의),176,"화상 영어 수업 — 70,000원부터 / 50분 (개인·단체)|원어민 또는 한국인 전문가 중 선택","Online English lessons — from KRW 70,000 / 50 min (individual or group)|Choose a native-speaker or Korean expert instructor",,
quote-flow (견적문의),177,"대면 개인 수업(과외) — 200,000원부터 / 100분|수도권 한정 · FASTFIVE 사무실 수업 가능","In-person one-on-one lessons (private tutoring) — from KRW 200,000 / 100 min|Seoul metropolitan area only · FASTFIVE office lessons available",,
quote-flow (견적문의),178,"대면 단체 수업(맞춤 강의·출장) — 600,000원부터 / 100분|기관·그룹 대상 맞춤형","In-person group lessons (custom classes / on-site) — from KRW 600,000 / 100 min|Custom-built for institutions and groups",,
quote-flow (견적문의),179,커스텀 서비스 — 별도 문의,Custom service — separate inquiry,,
quote-flow (견적문의),180,기간을 선택해 주세요.,Please select the duration.,,
quote-flow (견적문의),181,단체·장기 수업은 할인율이 적용됩니다.,Group and long-term lessons receive discounts.,,
quote-flow (견적문의),182,단기 (3개월 이내),Short-term (within 3 months),,
quote-flow (견적문의),183,장기 (3개월 이상),Long-term (3 months or more),,
quote-flow (견적문의),184,미정,Undecided,,
quote-flow (견적문의),185,방식을 선택해 주세요.,Please select the format.,,
quote-flow (견적문의),186,온라인,Online,,
quote-flow (견적문의),187,오프라인,Offline,,
quote-flow (견적문의),188,혼합,Hybrid,,
quote-flow (견적문의),189,대상과 목적을 알려주세요.,Please describe the target audience and goals.,,
quote-flow (견적문의),190,예: 월·수 오전 7시부터 8시까지 주 2회 1년 / 다음달 학회 발표를 위한 40분짜리 강의 준비 및 스크립트 발표 가이드,"e.g., 2x weekly Mon/Wed 7-8am for 1 year / preparation of a 40-minute lecture and script delivery guidance for next month's academic conference",,
quote-flow (견적문의),191,결제 방법을 선택해 주세요.,Please select the payment method.,,
quote-flow (견적문의),192,신용카드 결제링크,Credit card payment link,,
quote-flow (견적문의),193,통장 입금,Bank transfer,,
quote-flow (견적문의),194,전자계산서 발행 후 통장입금,Bank transfer after tax invoice issuance,,
quote-flow (견적문의),195,현장 신용카드 결제,On-site credit card payment,,
quote-flow (견적문의),196,대상과 목적을 알려주세요.,Please describe the target audience and goals.,,
quote-flow (견적문의),197,"교육이 필요한 콘텐츠, 수강생 인원, 발표 자료 유무, 통역·번역 필요 여부 등 세부사항을 적어주세요.","Please include details such as the training content, number of participants, availability of presentation materials, and whether interpretation or translation is required.",,
quote-flow (견적문의),198,"예: ISO13485 인증수료 통역·번역 포함, 교육 이수 30시간 과정, 수강생 8명","e.g., ISO 13485 certification course including interpretation/translation, 30-hour training program, 8 participants",,
quote-flow (견적문의),199,기간을 선택해 주세요.,Please select the duration.,,
quote-flow (견적문의),200,단기 (2주 이내),Short-term (within 2 weeks),,
quote-flow (견적문의),201,장기 (1달 이상),Long-term (1 month or more),,
quote-flow (견적문의),202,미정,Undecided,,
quote-flow (견적문의),203,방식을 선택해 주세요.,Please select the format.,,
quote-flow (견적문의),204,세부 내역 확인 후 커리큘럼·형태·기간을 컨펌하고 견적을 드립니다.,"After reviewing the details, we'll confirm the curriculum, format, and duration, and provide a quote.",,
quote-flow (견적문의),205,온라인,Online,,
quote-flow (견적문의),206,오프라인,Offline,,
quote-flow (견적문의),207,혼합,Hybrid,,
quote-flow (견적문의),208,문의 내용을 자유롭게 알려주세요.,Please share your inquiry in your own words.,,
quote-flow (견적문의),209,"이메일 또는 통화로 세부 내역을 확인한 뒤, 커리큘럼·형태·기간을 컨펌하고 견적을 드립니다.","We'll confirm details by email or phone, then confirm the curriculum, format, and duration and provide a quote.",,
quote-flow (견적문의),210,문의 내용을 입력해 주세요.,Please enter your inquiry.,,
quote-flow (견적문의),211,업체·기관명,Company / organization,,
quote-flow (견적문의),212,예: 주식회사 OO,"e.g., OO Corporation",,
quote-flow (견적문의),213,담당자명,Contact name,,
quote-flow (견적문의),214,이름,Name,,
quote-flow (견적문의),215,이메일,Email,,
quote-flow (견적문의),217,휴대폰,Mobile,,
quote-flow (견적문의),219,기존 고객,Existing client,,
quote-flow (견적문의),220,지인 추천,Referral,,
quote-flow (견적문의),221,네이버 검색,Naver search,,
quote-flow (견적문의),222,구글 검색,Google search,,
quote-flow (견적문의),223,인스타그램,Instagram,,
quote-flow (견적문의),224,링크드인,LinkedIn,,
quote-flow (견적문의),225,유튜브,YouTube,,
quote-flow (견적문의),226,블로그·카페,Blog / community,,
quote-flow (견적문의),227,기타,Other,,
quote-flow (견적문의),228,지인 추천,지인 추천,,
quote-flow (견적문의),229,지인 추천,Referral,,
quote-flow (견적문의),230,기타,기타,,
quote-flow (견적문의),231,기타,Other,,
quote-flow (견적문의),232,라벨|보조설명,라벨|보조설명,,
wizard-i18n (견적UI),1,"""어떤 도움이 필요하신가요?""","""What kind of help do you need?""",,
wizard-i18n (견적UI),2,"""유형을 선택하시면 필요한 내용만 여쭤봅니다. 1~2분이면 충분합니다.""","""Choose a category and we'll only ask what's relevant. It takes 1–2 minutes.""",,
wizard-i18n (견적UI),3,"""연락처를 알려주세요.""","""Your contact details""",,
wizard-i18n (견적UI),4,"""견적서를 보내드릴 곳입니다. 영업일 기준 1~2일 내에 회신드립니다.""","""We'll send the quote here. Expect a reply within 1–2 business days.""",,
wizard-i18n (견적UI),5,"""이전""","""Back""",,
wizard-i18n (견적UI),6,"""다음""","""Next""",,
wizard-i18n (견적UI),7,"""견적 문의 보내기""","""Send Quote Request""",,
wizard-i18n (견적UI),8,"""전송 중…""","""Sending…""",,
wizard-i18n (견적UI),9,"""시작일""","""Start date""",,
wizard-i18n (견적UI),10,"""종료일""","""End date""",,
wizard-i18n (견적UI),11,"""일정이 아직 미정입니다""","""The schedule is not yet decided""",,
wizard-i18n (견적UI),12,"""파일 첨부""","""Attach files""",,
wizard-i18n (견적UI),13,"(perFile, total) => `파일당 최대 ${perFile} · 합계 ${total}까지`","(perFile, total) => `Up to ${perFile} per file · ${total} total`",,
wizard-i18n (견적UI),14,"(name, limit) =>","(name, limit) =>",,
wizard-i18n (견적UI),15,(limit) =>,(limit) =>,,
wizard-i18n (견적UI),16,"""첨부파일을 읽지 못했습니다. 파일을 다시 선택해 주세요.""","""Failed to read the attachment. Please select the file again.""",,
wizard-i18n (견적UI),17,"""전송에 실패했습니다.""","""Failed to send.""",,
wizard-i18n (견적UI),18,"""비하이브를 어떻게 알게 되셨나요? (복수 선택 가능)""","""How did you hear about Beehive? (multiple choice)""",,
wizard-i18n (견적UI),19,"""추천인 성함""","""Referrer's name""",,
wizard-i18n (견적UI),20,"""직접 입력""","""Type here""",,
wizard-i18n (견적UI),21,"""개인정보 수집 · 이용에 동의합니다.""","""I agree to the collection and use of my personal information.""",,
wizard-i18n (견적UI),22,"""(필수)""","""(required)""",,
wizard-i18n (견적UI),23,"""· 수집 항목: 업체·기관명, 담당자명, 이메일, 휴대폰번호, 문의 내용""","""· Items collected: company/organization name, contact name, email, phone, inquiry details""",,
wizard-i18n (견적UI),24,"""· 수집 목적: 견적 산출 및 회신, 문의 응대, 계약 체결 협의""","""· Purpose: quote preparation and reply, inquiry response, contract negotiation""",,
wizard-i18n (견적UI),25,"""· 보유 기간: 문의 처리 완료 후 3년 (계약 체결 시 관계 법령에 따름)""","""· Retention: 3 years after inquiry is closed (per applicable law once a contract is signed)""",,
wizard-i18n (견적UI),26,"""· 동의를 거부하실 수 있으나, 이 경우 견적 회신이 제한됩니다.""","""· You may decline, but in that case we cannot send you a quote.""",,
wizard-i18n (견적UI),27,"""문의가 접수되었습니다.""","""Your inquiry has been received.""",,
wizard-i18n (견적UI),28,"""접수번호""","""Reference number""",,
wizard-i18n (견적UI),29,"""예상 견적""","""Estimated Quote""",,
wizard-i18n (견적UI),30,"""공급가액""","""Subtotal""",,
wizard-i18n (견적UI),31,"""부가세""","""VAT""",,
wizard-i18n (견적UI),32,"""합계""","""Total""",,
wizard-i18n (견적UI),33,"""입력하신 이메일로 접수 확인 메일을 보내드렸습니다.""","""A confirmation email has been sent to your address.""",,
